source_row	name	source_category	source_subcategory	tool_url	publication_url	year	programming_language	proposed_primary_function	proposed_platforms	proposed_analysis_types	proposed_interfaces	proposed_resource_type	flags
166	Maldi Transformer	Specialized		https://github.com/gdewael/maldi-nn	https://linkinghub.elsevier.com/retrieve/pii/S0010482525000459	2025	Python	annotation_identification	maldi_ms		python_package	programming_package	broad_source_bucket_manual_review
170	OrchidMD	Organism specific		https://www.orchidcomics.com/	https://onlinelibrary.wiley.com/doi/10.1111/pbi.70445	2025	NA	annotation_identification	platform_independent	multiomics		database_knowledgebase	
176	MetaboLM	Specialized		https://github.com/Qiu-Shizheng/MetaboLM	https://www.nature.com/articles/s41467-025-66163-3	2025	Python, R	annotation_identification	platform_independent		python_package;r_package	programming_package	broad_source_bucket_manual_review
181	BitterMasS	Specialized		https://github.com/Niv-Lab/BitterPredict1	https://pubs.acs.org/doi/10.1021/acs.jafc.3c09767	2024	Python, MATLAB	annotation_identification	platform_independent		python_package;matlab	programming_package	broad_source_bucket_manual_review
187	MetaboCoreUtils, MetaboAnnotation and CompoundDb	Annotation	Workflow tools	https://github.com/jorainer/MetaboAnnotationTutorials	https://www.mdpi.com/2218-1989/12/2/173	2022	R	annotation_identification	lc_ms	untargeted	r_package	workflow_pipeline	
197	DeepION	Imaging MS		https://github.com/BioNet-XMU/DeepION	https://pubs.acs.org/doi/10.1021/acs.analchem.3c05002	2024	Python	annotation_identification	imaging_ms		python_package	programming_package	
198	SagMSI	Imaging MS		https://github.com/BioNet-XMU/SagMSI	https://www.sciencedirect.com/science/article/abs/pii/S0003267025004921	2025	Python	annotation_identification	imaging_ms	spatial_metabolomics	python_package	workflow_pipeline	
203	IDSL.UFA	Annotation	Molecular formula prediction	https://cran.r-project.org/package=IDSL.UFA	https://pubs.acs.org/doi/10.1021/acs.analchem.2c00563	2022	R	annotation_identification	lc_ms	exposomics;untargeted	r_package	workflow_pipeline	
206	IDSL.CSA	Annotation	Others	https://cran.r-project.org/package=IDSL.CSA	https://pubs.acs.org/doi/10.1021/acs.analchem.3c00376	2023	R	annotation_identification	lc_ms	exposomics;untargeted	r_package	programming_package	
208	IDSL_MINT	Annotation	Molecular library retrieval	https://github.com/idslme/IDSL_MINT	https://link.springer.com/article/10.1186/s13321-024-00804-5	2024	Python	annotation_identification	platform_independent	exposomics;untargeted	python_package	database_knowledgebase	
213	MetaboAnnotatoR	Annotation	Others	https://github.com/gggraca/MetaboAnnotatoR	https://pubs.acs.org/doi/10.1021/acs.analchem.1c03032	2022	R, HTML	annotation_identification	lc_ms	lipidomics;untargeted;stable_isotope_tracing	r_package	workflow_pipeline	
220	FIDDLE	Annotation	Molecular formula prediction	https://github.com/JosieHong/FIDDLE	https://doi.org/10.1038/s41467-025-66060-9	2025	Python, Shell	annotation_identification	platform_independent		python_package	workflow_pipeline	
225	Mass2SMILES	Annotation	De Novo Generation	https://github.com/volvox292/mass2smiles	https://www.biorxiv.org/content/10.1101/2023.07.06.547963v1	2023	Python	annotation_identification	platform_independent		python_package	database_knowledgebase	
231	DiffSpectra	Annotation	De Novo Generation	https://github.com/AzureLeon1/DiffSpectra	https://arxiv.org/abs/2507.06853	2025	Python	annotation_identification	platform_independent		python_package	programming_package	
232	SpectraLLM	Specialized		NA	https://arxiv.org/abs/2508.08441	2025	NA	annotation_identification	platform_independent			software_application	broad_source_bucket_manual_review
235	MSident	Specialized	Others	https://github.com/cplqam/GUI	https://www.sciencedirect.com/science/article/pii/S0169743924000030	2024	MATLAB, Python	annotation_identification	platform_independent		python_package;matlab	workflow_pipeline	broad_source_bucket_manual_review
243	pyAIR	Exposomics		NA	https://www.mdpi.com/1420-3049/27/7/2063	2022	Python	annotation_identification	platform_independent	exposomics	python_package	workflow_pipeline	
250	AsRTNet	RT		https://github.com/piscookie/AS-RT	https://www.sciencedirect.com/science/article/pii/S2213343725046597	2025	Python	annotation_identification	platform_independent	untargeted	python_package	programming_package	
260	MS-RIDD	Lipidomics		https://github.com/Metabolomics-CompMS/MS-RIDD	https://www.nature.com/articles/s42004-022-00778-1#Abs1	2022	Python	annotation_identification	platform_independent	lipidomics;untargeted	python_package	database_knowledgebase	
264	Punc’data	Multifunctional		https://github.com/WTVoe/puncdata	https://pubs.acs.org/doi/10.1021/jasms.5c00151	2025	JavaScript, Webserver	annotation_identification	direct_infusion_ms		web_app	web_service	broad_source_bucket_manual_review
267	ChemEcho	Specialized		https://github.com/biorack/chemecho	https://pubs.acs.org/doi/10.1021/acs.analchem.5c02591	2025	Python	annotation_identification	platform_independent	untargeted	python_package	programming_package	broad_source_bucket_manual_review
273	LPPtiger2	Lipidomics		https://github.com/LMAI-TUD/lpptiger2	https://www.nature.com/articles/s41467-022-33225-9	2022	Python	annotation_identification	platform_independent	lipidomics	python_package	programming_package	
276	mspepsearchr	Annotation	Workflow tools	https://github.com/AndreySamokhin/mssearchr	https://pubs.acs.org/doi/10.1021/jasms.5c00322	2025	R	annotation_identification	platform_independent	untargeted	r_package	workflow_pipeline	
278	MASSISTANT	Annotation	De Novo Generation	https://github.com/BartaLazar/MASSISTANT/	https://chemrxiv.org/engage/chemrxiv/article-details/67d9484d6dde43c9083d4dde	2025	Python	annotation_identification	platform_independent		python_package	programming_package	
280	CRISP	GC-MS		https://github.com/vivekmathema/GCxGC-CRISP	https://academic.oup.com/bib/article/23/2/bbab550/6503617	2022	Python	annotation_identification	gc_ms	untargeted	python_package	programming_package	
282	SiMD	Annotation	Workflow tools	https://si-simd.com/	https://www.csbj.org/article/S2001-0370(25)00273-9	2025	Webserver	annotation_identification	lc_ms	untargeted	web_app	workflow_pipeline	
286	SpecTUS	GC-MS		https://github.com/hejjack/SpecTUS	https://arxiv.org/abs/2502.05114	2025	Python, Shell	annotation_identification	gc_ms		python_package	database_knowledgebase	
288	MIST-CF	Annotation	Molecular formula prediction	https://github.com/samgoldman97/mist-cf	https://pubs.acs.org/doi/full/10.1021/acs.jcim.3c01082	2023	Python, Shell	annotation_identification	platform_independent		python_package	database_knowledgebase	
293	DiffMS	Annotation	De Novo Generation	https://github.com/coleygroup/DiffMS	https://arxiv.org/abs/2502.09571	2025	Python	annotation_identification	platform_independent		python_package	workflow_pipeline	
297	mass2adduct	Imaging MS		https://github.com/kbseah/mass2adduct	https://pubs.acs.org/doi/abs/10.1021/acs.analchem.0c04720	2021	R, Perl, C++	annotation_identification	imaging_ms;maldi_ms	spatial_metabolomics	r_package	programming_package	
303	mGWAS-Explorer 2.0	Specialized		https://www.mgwas.ca/	https://www.mdpi.com/2218-1989/13/7/826	2023	Webserver	annotation_identification	platform_independent		web_app	web_service	broad_source_bucket_manual_review
312	POMICS	Ion Mobility MS		https://www.pomics.org/	https://pubs.acs.org/doi/10.1021/jasms.1c00315	2022	Webserver	annotation_identification	platform_independent		web_app	workflow_pipeline	ion_mobility_platform_dimension
313	Snakemake CCS	Ion Mobility MS		https://github.com/DasSusanta/snakemake_ccs	https://pubs.acs.org/doi/full/10.1021/acs.jcim.3c00890	2023	Python	annotation_identification	platform_independent	untargeted	python_package	workflow_pipeline	ion_mobility_platform_dimension
315	MSGo	Annotation	De Novo Generation	http://github.com/aaronma2020/MSGO	https://www.nature.com/articles/s42256-025-01140-5	2025	Python	annotation_identification	platform_independent	exposomics	python_package	programming_package	
326	MSIpixel	Imaging MS		https://github.com/gmartano/MSIpixel	https://academic.oup.com/bib/article-abstract/25/1/bbad463/7473608	2024	Python	annotation_identification	imaging_ms	spatial_metabolomics	python_package	workflow_pipeline	
329	LipidA-IDER	Lipidomics		https://github.com/Systems-Biology-Of-Lipid-Metabolism-Lab/LipidA-IDER	https://pubs.acs.org/doi/full/10.1021/acs.analchem.5c00520	2023	Python	annotation_identification	platform_independent	lipidomics	python_package	database_knowledgebase	
330	One Small Step / MIST + MolForge pipeline	Annotation	De Novo Generation	NA	https://arxiv.org/abs/2508.04180	2025	Python	annotation_identification	platform_independent		python_package	workflow_pipeline	
331	PS2MS	Annotation	Workflow tools	https://github.com/jhhung/PS2MS	https://pubs.acs.org/doi/10.1021/acs.analchem.3c05019	2024	C++, C, Python, CMake	annotation_identification	platform_independent		python_package	database_knowledgebase	
335	DWSA-PSO	Ion Mobility MS		NA	https://pubs.rsc.org/en/content/articlelanding/2023/an/d3an01042b	2023	MATLAB	annotation_identification	platform_independent		matlab	software_application	ion_mobility_platform_dimension
336	MACS	Imaging MS		NA	https://pubs.acs.org/doi/10.1021/jasms.3c00178	2023	MATLAB	annotation_identification	imaging_ms		matlab	database_knowledgebase	
338	MINE 2.0	Specialized		https://minedatabase.ci.northwestern.edu, https://github.com/tyo-nu/MINE-Server	https://academic.oup.com/bioinformatics/advance-article-abstract/doi/10.1093/bioinformatics/btac331/6589885	2022	Webserver, Python	annotation_identification	platform_independent	untargeted	web_app;python_package	database_knowledgebase	broad_source_bucket_manual_review
341	antiSMASH 8.0	Biosynthetic Gene Clusters		https://antismash.secondarymetabolites.org/	https://academic.oup.com/nar/article/53/W1/W32/8119805	2025	Python, Webserver	annotation_identification	platform_independent		web_app;python_package	web_service	consider_genome_metabolome_linking_capability
343	LipoCLEAN	Lipidomics		https://github.com/stavis1/LipoCLEAN	https://pubs.acs.org/doi/10.1021/acs.analchem.4c04040	2025	Python, Shell	annotation_identification	platform_independent	lipidomics;untargeted	python_package	programming_package	
345	AutoCCS	Ion Mobility MS		https://github.com/PNNL-Comp-Mass-Spec/AutoCCS	https://academic.oup.com/bioinformatics/article/37/22/4193/6305793#312931102	2021	Python	annotation_identification	platform_independent	untargeted	python_package	workflow_pipeline	ion_mobility_platform_dimension
346	NGlycDB	Imaging MS		https://metaspace2020.org/project/velickovic_Nglyc_2021?tab=datasets	https://pubs.acs.org/doi/abs/10.1021/acs.analchem.1c02347	2021	Webserver	annotation_identification	imaging_ms;maldi_ms	spatial_metabolomics	web_app	database_knowledgebase	
364	NetID	Annotation	Others	https://github.com/LiChenPU/NetID/releases/tag/v1.0	https://www.nature.com/articles/s41592-021-01303-3	2021	R	annotation_identification	lc_ms	untargeted	r_package	programming_package	
365	DeepMet	Specialized		https://github.com/skinniderlab/clm, https://deepmet.org/	https://www.biorxiv.org/content/10.1101/2024.11.13.623458v1	2024	Python, Webserver	annotation_identification	platform_independent		web_app;python_package	web_service	broad_source_bucket_manual_review
374	MSThunder	Exposomics		https://github.com/LQZ0123/MSThunder.git	https://www.sciencedirect.com/science/article/pii/S2590182625001171	2025	Python	annotation_identification	platform_independent	exposomics	python_package	programming_package	
376	Spec2Mol	Annotation	De Novo Generation	https://github.com/KavrakiLab/Spec2Mol	https://www.nature.com/articles/s42004-023-00932-3	2023	Python	annotation_identification	platform_independent		python_package	database_knowledgebase	
377	Peak2Patch	Annotation	Others	NA	https://chemrxiv.org/engage/chemrxiv/article-details/680a771c927d1c2e669d466b	2025	NA	annotation_identification	platform_independent			software_application	
390	MyxoDB	Organism specific		https://figshare.com/collections/Constructing_a_Myxobacterial_Natural_Product_Database_to_Facilitate_NMR-Based_Metabolomics_Bioprospecting_of_Myxobacteria/6468946	https://pubs.acs.org/doi/10.1021/acs.analchem.2c05145	2023	Webserver	annotation_identification	platform_independent		web_app	database_knowledgebase	mixed_nmr_mentions
395	SpectrumWorld (SpectrumLab)	Annotation	Workflow tools	https://github.com/little1d/SpectrumLab; https://ai4s-chem.github.io/SpectrumWorld/	https://arxiv.org/abs/2508.01188	2025	Python	annotation_identification	platform_independent		python_package	programming_package	
396	MoleTrans	FT-ICR MS		https://github.com/JibaoLiu/MoleTrans	https://pubs.acs.org/doi/abs/10.1021/acs.estlett.5c00284	2025	R	annotation_identification	direct_infusion_ms		r_package	workflow_pipeline	ft_icr_platform_dimension
397	DMetFinder	Drug Discovery		https://github.com/KeWHs/dmetdata	https://www.sciencedirect.com/science/article/pii/S0039914025014092#sec5	2025	NA	annotation_identification	platform_independent		command_line	software_application	broad_source_bucket_manual_review
398	SynFrag	Drug Discovery		https://github.com/simmzx/SynFrag, https://synfrag.simm.ac.cn/	https://chemrxiv.org/engage/chemrxiv/article-details/68e867fddfd0d042d1c5032e	2025	Python, Webserver	annotation_identification	platform_independent		web_app;python_package	workflow_pipeline	broad_source_bucket_manual_review
403	MS-BART	Annotation	De Novo Generation	https://github.com/OpenDFM/MS-BART	https://arxiv.org/abs/2510.20615	2025	Python	annotation_identification	platform_independent		python_package	programming_package	
406	MDSi	Organism specific		http://sky.sxau.edu.cn/MDSi.htm	https://bmcplantbiol.biomedcentral.com/articles/10.1186/s12870-023-04238-3	2023	Webserver	annotation_identification	platform_independent	multiomics	web_app	database_knowledgebase	
414	rMSIannotation	Imaging MS		https://github.com/prafols/rMSIproc	https://www.sciencedirect.com/science/article/pii/S0003267021004955	2021	R, C++, Fortran, C	annotation_identification	imaging_ms;maldi_ms	lipidomics	r_package	database_knowledgebase	
422	deepPseudoMSI	Imaging MS		https://www.deeppseudomsi.org/	https://academic.oup.com/bib/article/23/5/bbac331/6659741	2022	R	annotation_identification	imaging_ms;lc_ms	untargeted	r_package	programming_package	
